outside,ADV,0,0,1,0,0,0,0,0,0
collected,VERB,0,0,1,0,0,0,0,0,0
bunch,NOUN,0,0,1,0,0,0,0,0,0
rocks,NOUN,2,0,3,0,0,2,0,0,1
back,ADV,0,0,2,0,0,0,0,0,0
sewed,VERB,0,0,1,0,0,0,0,0,0
him,PRON,1,0,1,0,0,3,0,0,0
up,ADV,1,0,1,0,0,0,0,1,0
Hunter,PROPN,0,0,1,0,0,0,0,0,0
thought,VERB,0,0,1,1,0,0,0,0,0
funny,ADJ,0,0,1,0,0,0,0,0,0
when,ADV,0,2,1,0,0,1,0,0,1
they,PRON,0,4,1,3,0,2,0,1,0
saw,VERB,0,1,1,2,0,0,1,0,0
walking,VERB,0,0,1,1,0,0,0,1,0
belly,NOUN,2,0,1,1,0,1,1,3,0
home,ADV,0,0,1,0,0,0,0,0,0
make,VERB,0,0,1,0,0,0,0,0,0
sure,ADJ,0,0,1,0,0,0,0,0,0
safety,NOUN,0,0,1,0,0,0,0,0,0
waved,VERB,1,0,1,0,0,2,0,0,0
one,NUM,1,0,0,2,0,0,0,0,1
wanted,VERB,0,1,0,2,0,0,1,2,0
cake,NOUN,0,1,0,1,0,0,0,0,0
left,VERB,0,0,0,2,0,1,0,0,0
her,ADJ,1,0,0,1,0,0,0,0,0
holding,VERB,0,0,0,1,0,0,0,0,0
grapes,NOUN,0,0,0,1,0,1,0,0,0
water,NOUN,0,1,0,3,0,1,0,0,0
bread,NOUN,0,0,0,1,0,0,0,0,0
goodbye,NOUN,2,3,0,2,0,2,0,2,1
while,SCONJ,2,0,0,1,0,1,0,0,0
there,ADV,1,1,0,2,0,1,0,0,0
very,ADV,2,4,0,2,0,0,0,0,1
eat,VERB,2,2,0,3,0,1,0,2,4
then,ADV,2,1,0,6,0,1,0,0,4
close,ADJ,0,0,0,2,0,0,0,0,0
meanwhile,ADV,0,0,0,2,0,0,0,0,0
picking,VERB,1,0,0,1,0,0,0,0,0
up,ADP,0,0,0,2,0,0,0,0,0
inside,ADP,0,0,0,4,0,1,0,0,0
putting,VERB,0,0,0,1,0,0,0,1,0
vase,NOUN,0,0,0,1,0,1,1,0,0
setting,VERB,0,0,0,1,0,0,0,0,0
asking,VERB,0,0,0,1,0,0,0,0,0
who,DET,0,0,0,1,0,0,0,0,0
how,ADV,1,2,0,1,0,0,0,0,0
