al,DET,0,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,1
ropero,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oso,NOUN,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disfrazó,VERB,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llegó,VERB,0,1,0,1,2,1,1,1,1,0,0,4,0,0,2,4,2,2,1,1,0,1
ramo,NOUN,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unas,DET,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,2,0
qué,DET,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orejas,NOUN,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tan,ADV,0,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
grandes,ADJ,0,1,0,0,0,1,3,3,1,0,0,0,1,0,1,0,0,0,2,0,0,0
tienes,VERB,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
preguntó,VERB,0,2,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0
después,ADV,0,4,4,0,0,2,4,0,0,4,0,1,8,0,0,2,0,3,5,3,0,1
vuelve,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mató,VERB,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
felices,NOUN,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metieron,VERB,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
puras,ADJ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fue,AUX,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
lleno,ADJ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adiós,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vez,NOUN,0,0,1,0,0,1,2,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1
había,VERB,0,0,1,0,0,1,1,2,1,2,0,1,0,0,1,1,0,0,0,0,0,1
llamaba,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
llevaba,VERB,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
caperuza,NOUN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roja,ADJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tenía,VERB,0,0,2,0,0,0,1,4,0,1,0,1,0,0,1,0,0,2,4,1,0,1
