while,SCONJ,1,5,0,0,1,0,0,0,2,2,2,1,0,0,0,0,3,3,0,0,0,0,5,0,0,0,5,2,2,2,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,3,5,0,0,0,0,0,0,0,3,6,2,4,3,0,3,1,0,2,1,3,0,1,1,1,0,1,0,2,0,7,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
into,ADP,4,1,0,1,0,0,0,0,2,1,1,0,0,1,0,2,2,0,0,1,0,0,0,1,1,0,1,0,1,1,0,2,0,0,0,2,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,1,1,2,0,3,0,0,0,1,2,2,3,1,0,1,0,0,0,3,0,1,1,0,3,0,0,2,0,1,1,0,0,1,0,1,0,2,2,1,0,3,0,1,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forest,NOUN,1,0,0,1,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,2,0,0,2,0,1,0,1,1,0,0,0,1,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,4,6,1,3,0,5,2,2,2,0,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
does,AUX,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not,PART,1,0,0,1,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,2,0,0,0,1,1,2,3,0,1,0,1,0,4,8,1,0,0,0,0,0,0,0,7,21,0,2,0,0,0,0,5,1,0,0,1,1,1,0,2,2,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realize,VERB,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
there,PRON,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,1,1,0,0,0,4,1,1,4,4,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wolf,NOUN,6,10,7,15,7,4,13,13,11,11,8,12,2,12,11,9,18,8,0,15,8,2,16,8,9,0,8,9,10,11,0,24,8,19,9,9,7,18,12,0,0,14,8,6,12,9,0,7,7,11,13,11,18,7,11,0,9,8,10,0,16,11,11,14,12,5,7,12,5,11,19,11,12,9,0,0,0,7,11,12,23,25,14,11,0,18,8,9,19,11,11,10,11,9,10,17,15,8,0,0,8,10,19,13,0,21,10,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
behind,ADP,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,CCONJ,5,21,0,44,25,32,20,11,15,39,16,8,6,20,11,24,36,19,0,46,26,26,12,21,19,0,13,14,10,13,0,22,4,16,21,15,1,21,33,1,0,26,14,27,17,32,0,16,0,16,18,18,24,21,28,0,11,27,11,0,34,10,28,25,11,13,5,25,16,13,26,16,10,7,10,0,0,13,10,17,33,46,35,39,0,40,30,20,30,38,15,12,23,19,33,39,22,14,16,0,28,5,23,74,0,13,40,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
continues,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walking,VERB,2,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,2,2,3,0,0,0,2,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,3,0,0,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
house,NOUN,1,6,0,3,2,0,3,4,5,6,2,2,3,2,6,3,1,1,0,4,2,0,3,5,2,0,2,1,4,2,0,4,2,3,5,4,0,5,3,0,0,1,2,2,3,3,0,2,0,1,1,2,4,1,2,0,3,1,0,0,5,2,3,1,4,3,2,0,5,3,1,2,5,1,1,0,0,1,3,4,5,3,4,2,0,8,1,2,8,5,4,0,6,4,4,5,2,3,4,0,4,1,3,6,0,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprised,VERB,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ate,VERB,1,0,0,4,2,1,1,0,0,3,2,3,2,0,2,2,2,2,0,2,1,0,2,2,3,0,0,4,0,2,0,5,2,3,0,1,0,2,1,0,0,3,1,3,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,2,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2,3,0,0,0,0,1,0,2,0,2,1,0,0,0,0,3,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
