woke,VERB,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
up,ADV,0,2,0,2,2,0,0,0,1,1,1,1,0,0,1,1,0,1,0,2,1,0,0,2,0,0,2,1,1,0,0,2,1,0,0,1,1,1,1,0,0,0
her,ADJ,0,3,0,0,1,1,0,0,0,1,0,0,0,1,1,3,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
asked,VERB,0,2,0,1,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
take,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
for,ADP,0,4,0,1,2,1,2,0,1,3,2,0,0,0,1,0,1,1,0,0,1,0,3,0,2,0,0,2,0,2,0,0,0,0,0,3,1,2,3,0,0,1
that,CCONJ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
it,PRON,0,2,0,2,3,3,3,0,1,6,0,1,0,0,2,3,0,1,0,6,1,2,2,0,5,0,2,2,1,0,0,7,0,0,0,0,0,5,4,0,0,0
tradition,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
family,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
had,VERB,0,3,0,1,2,1,0,0,0,0,2,0,0,0,0,0,3,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
really,ADV,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
long,ADJ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time,NOUN,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
bringing,VERB,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
grandmothers,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
or,CCONJ,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,2,1,0,1,0,0,2
grandparents,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
so,SCONJ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that,SCONJ,0,2,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,2,0,8,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,2,2,12,8,0,0,5
