fue,VERB,0,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,1,0,1,0
como,SCONJ,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
quedó,VERB,0,1,1,0,0,0,1,2,0,2,1,0,0,1,0,0,0,0,0,0
panzón,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
podía,AUX,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
caminar,VERB,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
tanto,DET,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cargaba,VERB,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
despidió,VERB,0,1,0,1,1,0,1,1,0,0,2,1,0,0,1,1,0,0,0,0
acompañó,VERB,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Charles,PROPN,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Perrault,PROPN,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cumpleaños,NOUN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hizo,VERB,0,0,1,0,0,0,2,0,0,0,0,3,0,0,1,1,0,1,0,0
pastel,NOUN,0,0,1,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0
regaló,VERB,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
capa,NOUN,0,0,2,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0
roja,ADJ,0,0,1,1,1,0,1,1,3,1,0,0,1,0,0,1,1,0,0,1
vivían,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solas,ADV,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llevarle,VERB,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,3,1,0
vino,NOUN,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
pan,NOUN,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
agarró,VERB,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dijo,VERB,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0
adiós,ADV,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hambre,NOUN,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distrajó,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recogiendo,VERB,0,0,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
quería,VERB,0,0,1,3,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0
entregar,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estaba,AUX,0,0,1,1,2,1,5,2,3,3,4,1,3,1,3,4,1,1,2,4
primero,ADV,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
como,ADP,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,2
todavía,ADV,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decidió,VERB,0,0,4,0,1,0,2,1,0,0,0,0,0,4,0,2,0,0,2,0
vestirse,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ropa,NOUN,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
fingir,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estar,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
durmiendo,VERB,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
vaso,NOUN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esperaba,VERB,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acercara,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entonces,ADV,0,0,4,0,2,2,0,0,6,7,0,0,0,0,0,0,0,0,1,1
acercó,VERB,0,0,1,0,1,2,1,2,0,0,1,0,1,1,0,0,0,0,1,0
comenzó,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
notar,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diferencias,NOUN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
notó,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orejas,NOUN,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
grandes,ADJ,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
dientes,NOUN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unos,DET,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ojos,NOUN,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
extraños,ADJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terminó,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comiéndose,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tan,ADV,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
cansado,ADJ,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
durmió,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
había,VERB,0,0,2,0,2,1,1,1,0,1,0,0,2,1,0,0,0,0,0,1
cerca,ADV,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
escuchado,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gritos,NOUN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ver,VERB,0,0,1,2,0,0,1,0,2,2,0,0,1,1,1,0,0,0,1,1
si,SCONJ,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
problemas,NOUN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grande,ADJ,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
abrió,VERB,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
ahí,ADV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
salieron,VERB,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
decidieron,VERB,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rellenar,VERB,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cuando,SCONJ,0,0,1,1,0,5,6,6,2,2,1,1,0,0,0,0,0,0,0,0
despertó,VERB,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sentía,VERB,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
mal,ADJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
quiso,VERB,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
tomar,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tanto,PRON,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
pozo,NOUN,0,0,2,1,0,1,0,1,0,2,1,1,0,0,1,0,1,1,0,0
cayó,VERB,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1
aventuras,NOUN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
irse,VERB,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ofreció,VERB,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
acompañarla,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nada,PRON,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
malo,ADJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sucediera,VERB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usar,VERB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cocinarle,VERB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uva,NOUN,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
llevara,VERB,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
comer,VERB,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
detrás,ADV,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
distrajo,VERB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
únicos,NOUN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dieron,VERB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fueron,AUX,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pajaritos,NOUN,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
atacó,VERB,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
sirvió,VERB,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
llevó,VERB,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recogido,VERB,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
que,CCONJ,0,0,0,1,1,0,0,0,1,0,2,0,0,3,0,1,1,0,0,0
sorprendió,VERB,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
lugar,NOUN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salir,VERB,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corriendo,VERB,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
perro,NOUN,0,0,0,2,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0
ya,ADV,0,0,0,2,0,0,3,1,2,1,1,1,0,3,2,1,0,1,1,1
comido,VERB,0,0,0,1,0,0,1,1,1,1,0,1,1,2,2,1,0,0,1,0
comida,NOUN,0,0,0,1,0,0,1,0,2,2,0,0,3,0,1,1,0,0,2,0
o,CCONJ,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
sorpresa,NOUN,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
solamente,ADV,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disfraz,NOUN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
porque,SCONJ,0,0,0,1,1,0,2,0,2,1,0,0,0,0,0,1,1,0,1,0
asombró,VERB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ah,INTJ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trajo,VERB,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
empezara,VERB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coser,VERB,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
al,ADV,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gordo,ADJ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
todos,PRON,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0
rieron,VERB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
él,PRON,0,0,0,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,2,0
regresó,VERB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acompañada,VERB,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
alegre,ADJ,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
distinguía,VERB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amigos,NOUN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
varios,DET,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
