fill,VERB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stomache,NOUN,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
up,ADV,2,0,0,1,0,0,3,0,0,2,2,0,0,1,1,0,0,0,3,0,2,0,1,0,0,0,0,0,0
woke,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big,ADJ,1,0,0,1,0,0,0,0,0,1,0,1,0,3,1,0,0,0,6,0,4,0,0,4,0,0,5,1,0
around,ADV,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
while,SCONJ,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,3,5,0,0,0,0,0,0,0,3
they,PRON,1,2,8,2,0,2,5,1,0,4,3,0,6,1,1,3,5,7,1,4,2,1,0,2,0,0,2,1,0
laughing,VERB,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
him,PRON,1,0,2,1,0,1,4,0,0,0,2,0,3,0,0,1,0,2,0,0,1,0,0,1,0,0,2,0,1
thanks,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
says,NOUN,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
goodbye,NOUN,2,1,0,1,0,0,2,1,0,0,1,1,0,2,2,0,1,2,2,0,1,1,0,2,0,0,0,1,1
said,VERB,1,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,1,1,0,0,0,1,0,2,0,0,0,0,1
okay,INTJ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
so,ADV,0,5,1,5,0,3,6,1,0,2,2,6,8,1,1,0,1,3,3,5,2,0,0,1,0,0,2,0,0
i,PRON,0,5,2,0,0,1,2,4,0,3,0,0,3,1,0,3,0,0,1,0,5,0,0,1,0,0,0,0,0
think,VERB,0,1,1,0,0,0,2,4,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
this,PRON,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0
Little,ADJ,0,2,0,0,0,0,12,0,0,0,0,0,0,10,5,0,0,9,0,0,1,0,0,6,0,0,0,11,0
Red,PROPN,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Riding,PROPN,0,2,0,0,0,0,11,0,0,0,8,0,0,10,6,0,0,8,0,0,1,0,0,5,0,0,0,10,0
Hood,PROPN,0,2,0,0,0,0,11,0,0,0,10,0,0,11,6,0,0,9,0,0,1,0,0,6,0,0,0,10,0
story,NOUN,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that,SCONJ,0,5,0,4,0,2,3,0,0,0,4,0,3,1,0,1,5,1,0,1,1,0,0,0,0,0,1,1,0
know,VERB,0,2,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
goes,VERB,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0
Red,ADJ,0,1,0,0,0,0,9,0,0,0,9,0,0,11,5,0,0,8,0,0,0,0,0,7,0,0,0,10,0
bring,VERB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
muffins,NOUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,ADP,0,4,2,4,0,5,4,1,0,7,1,7,1,8,6,0,1,2,6,3,6,4,5,5,0,0,2,1,5
grandmother,NOUN,0,8,0,8,0,0,0,2,0,0,5,0,0,5,0,5,3,1,11,0,0,9,1,4,0,0,0,0,7
through,ADP,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
